I,J,nwcbox_value,layer#,Cell_ID,X,Y
108,2,1,1,1,390312.72,4064563.25
108,3,2,1,2,386127.81,4065675.5
108,4,3,1,3,384502.84,4068255.75
117,4,4,1,4,414642.41,4075672.75
117,4,11065,2,4,414642.41,4075672.75
117,4,20212,3,4,414642.41,4075672.75
117,4,27816,4,4,414642.41,4075672.75
118,4,5,1,5,415892.41,4077278.0
118,4,11066,2,5,415892.41,4077278.0
118,4,20213,3,5,415892.41,4077278.0
118,4,27817,4,5,415892.41,4077278.0
119,4,6,1,6,416823.91,4078726.0
119,4,11067,2,6,416823.91,4078726.0
119,4,20214,3,6,416823.91,4078726.0
119,4,27818,4,6,416823.91,4078726.0
120,4,7,1,7,417568.41,4079990.5
120,4,11068,2,7,417568.41,4079990.5
120,4,20215,3,7,417568.41,4079990.5
120,4,27819,4,7,417568.41,4079990.5
121,4,8,1,8,418135.38,4081030.75
121,4,11069,2,8,418135.38,4081030.75
121,4,20216,3,8,418135.38,4081030.75
121,4,27820,4,8,418135.38,4081030.75
122,4,9,1,9,418582.09,4081911.0
122,4,11070,2,9,418582.09,4081911.0
122,4,20217,3,9,418582.09,4081911.0
122,4,27821,4,9,418582.09,4081911.0
123,4,10,1,10,418969.91,4082652.75
123,4,11071,2,10,418969.91,4082652.75
123,4,20218,3,10,418969.91,4082652.75
123,4,27822,4,10,418969.91,4082652.75
124,4,11,1,11,419268.12,4083278.0
124,4,11072,2,11,419268.12,4083278.0
124,4,20219,3,11,419268.12,4083278.0
124,4,27823,4,11,419268.12,4083278.0
125,4,12,1,12,419553.88,4083870.5
125,4,11073,2,12,419553.88,4083870.5
125,4,20220,3,12,419553.88,4083870.5
125,4,27824,4,12,419553.88,4083870.5
125,4,34205,5,12,419553.88,4083870.5
125,4,39385,6,12,419553.88,4083870.5
125,4,43576,7,12,419553.88,4083870.5
126,4,13,1,13,419829.16,4084437.5
126,4,11074,2,13,419829.16,4084437.5
126,4,20221,3,13,419829.16,4084437.5
126,4,27825,4,13,419829.16,4084437.5
126,4,34206,5,13,419829.16,4084437.5
126,4,39386,6,13,419829.16,4084437.5
126,4,43577,7,13,419829.16,4084437.5
126,4,46868,8,13,419829.16,4084437.5
126,4,49408,9,13,419829.16,4084437.5
126,4,51216,10,13,419829.16,4084437.5
127,4,14,1,14,420095.38,4084985.25
127,4,11075,2,14,420095.38,4084985.25
127,4,20222,3,14,420095.38,4084985.25
127,4,27826,4,14,420095.38,4084985.25
127,4,34207,5,14,420095.38,4084985.25
127,4,39387,6,14,420095.38,4084985.25
127,4,43578,7,14,420095.38,4084985.25
127,4,46869,8,14,420095.38,4084985.25
127,4,49409,9,14,420095.38,4084985.25
127,4,51217,10,14,420095.38,4084985.25
128,4,15,1,15,420353.09,4085515.25
128,4,11076,2,15,420353.09,4085515.25
128,4,20223,3,15,420353.09,4085515.25
128,4,27827,4,15,420353.09,4085515.25
128,4,34208,5,15,420353.09,4085515.25
128,4,39388,6,15,420353.09,4085515.25
128,4,43579,7,15,420353.09,4085515.25
128,4,46870,8,15,420353.09,4085515.25
128,4,49410,9,15,420353.09,4085515.25
128,4,51218,10,15,420353.09,4085515.25
129,4,16,1,16,420602.75,4086030.5
129,4,11077,2,16,420602.75,4086030.5
129,4,20224,3,16,420602.75,4086030.5
129,4,27828,4,16,420602.75,4086030.5
129,4,34209,5,16,420602.75,4086030.5
129,4,39389,6,16,420602.75,4086030.5
129,4,43580,7,16,420602.75,4086030.5
129,4,46871,8,16,420602.75,4086030.5
129,4,49411,9,16,420602.75,4086030.5
129,4,51219,10,16,420602.75,4086030.5
130,4,17,1,17,420844.56,4086540.25
130,4,11078,2,17,420844.56,4086540.25
130,4,20225,3,17,420844.56,4086540.25
130,4,27829,4,17,420844.56,4086540.25
130,4,34210,5,17,420844.56,4086540.25
130,4,39390,6,17,420844.56,4086540.25
130,4,43581,7,17,420844.56,4086540.25
130,4,46872,8,17,420844.56,4086540.25
130,4,49412,9,17,420844.56,4086540.25
130,4,51220,10,17,420844.56,4086540.25
131,4,18,1,18,421077.56,4087042.5
131,4,11079,2,18,421077.56,4087042.5
131,4,20226,3,18,421077.56,4087042.5
131,4,27830,4,18,421077.56,4087042.5
131,4,34211,5,18,421077.56,4087042.5
131,4,39391,6,18,421077.56,4087042.5
131,4,43582,7,18,421077.56,4087042.5
131,4,46873,8,18,421077.56,4087042.5
131,4,49413,9,18,421077.56,4087042.5
131,4,51221,10,18,421077.56,4087042.5
131,4,52563,11,18,421077.56,4087042.5
132,4,19,1,19,421301.09,4087539.75
132,4,11080,2,19,421301.09,4087539.75
132,4,20227,3,19,421301.09,4087539.75
132,4,27831,4,19,421301.09,4087539.75
132,4,34212,5,19,421301.09,4087539.75
132,4,39392,6,19,421301.09,4087539.75
132,4,43583,7,19,421301.09,4087539.75
132,4,46874,8,19,421301.09,4087539.75
132,4,49414,9,19,421301.09,4087539.75
132,4,51222,10,19,421301.09,4087539.75
132,4,52564,11,19,421301.09,4087539.75
133,4,20,1,20,421515.59,4088042.5
133,4,11081,2,20,421515.59,4088042.5
133,4,20228,3,20,421515.59,4088042.5
133,4,27832,4,20,421515.59,4088042.5
133,4,34213,5,20,421515.59,4088042.5
133,4,39393,6,20,421515.59,4088042.5
133,4,43584,7,20,421515.59,4088042.5
133,4,46875,8,20,421515.59,4088042.5
133,4,49415,9,20,421515.59,4088042.5
133,4,51223,10,20,421515.59,4088042.5
133,4,52565,11,20,421515.59,4088042.5
134,4,21,1,21,421722.38,4088552.75
134,4,11082,2,21,421722.38,4088552.75
134,4,20229,3,21,421722.38,4088552.75
134,4,27833,4,21,421722.38,4088552.75
134,4,34214,5,21,421722.38,4088552.75
134,4,39394,6,21,421722.38,4088552.75
134,4,43585,7,21,421722.38,4088552.75
135,4,22,1,22,421925.62,4089082.5
135,4,11083,2,22,421925.62,4089082.5
135,4,20230,3,22,421925.62,4089082.5
135,4,27834,4,22,421925.62,4089082.5
135,4,34215,5,22,421925.62,4089082.5
135,4,39395,6,22,421925.62,4089082.5
135,4,43586,7,22,421925.62,4089082.5
136,4,23,1,23,422132.53,4089645.0
136,4,11084,2,23,422132.53,4089645.0
136,4,20231,3,23,422132.53,4089645.0
136,4,27835,4,23,422132.53,4089645.0
136,4,34216,5,23,422132.53,4089645.0
137,4,24,1,24,422350.09,4090247.25
137,4,11085,2,24,422350.09,4090247.25
137,4,20232,3,24,422350.09,4090247.25
137,4,27836,4,24,422350.09,4090247.25
137,4,34217,5,24,422350.09,4090247.25
138,4,25,1,25,422584.28,4090907.5
138,4,11086,2,25,422584.28,4090907.5
138,4,20233,3,25,422584.28,4090907.5
138,4,27837,4,25,422584.28,4090907.5
138,4,34218,5,25,422584.28,4090907.5
139,4,26,1,26,422841.0,4091632.75
139,4,11087,2,26,422841.0,4091632.75
139,4,20234,3,26,422841.0,4091632.75
139,4,27838,4,26,422841.0,4091632.75
139,4,34219,5,26,422841.0,4091632.75
140,4,27,1,27,423124.84,4092427.5
140,4,11088,2,27,423124.84,4092427.5
140,4,20235,3,27,423124.84,4092427.5
140,4,27839,4,27,423124.84,4092427.5
140,4,34220,5,27,423124.84,4092427.5
141,4,28,1,28,423438.31,4093302.75
141,4,11089,2,28,423438.31,4093302.75
141,4,20236,3,28,423438.31,4093302.75
141,4,27840,4,28,423438.31,4093302.75
141,4,34221,5,28,423438.31,4093302.75
142,4,29,1,29,423783.0,4094255.0
142,4,11090,2,29,423783.0,4094255.0
142,4,20237,3,29,423783.0,4094255.0
142,4,27841,4,29,423783.0,4094255.0
142,4,34222,5,29,423783.0,4094255.0
142,4,39396,6,29,423783.0,4094255.0
143,4,30,1,30,424158.47,4095290.25
143,4,11091,2,30,424158.47,4095290.25
143,4,20238,3,30,424158.47,4095290.25
143,4,27842,4,30,424158.47,4095290.25
143,4,34223,5,30,424158.47,4095290.25
143,4,39397,6,30,424158.47,4095290.25
144,4,31,1,31,424564.59,4096407.25
144,4,11092,2,31,424564.59,4096407.25
144,4,20239,3,31,424564.59,4096407.25
144,4,27843,4,31,424564.59,4096407.25
144,4,34224,5,31,424564.59,4096407.25
144,4,39398,6,31,424564.59,4096407.25
144,4,43587,7,31,424564.59,4096407.25
144,4,46876,8,31,424564.59,4096407.25
145,4,32,1,32,424999.38,4097599.75
145,4,11093,2,32,424999.38,4097599.75
145,4,20240,3,32,424999.38,4097599.75
145,4,27844,4,32,424999.38,4097599.75
145,4,34225,5,32,424999.38,4097599.75
145,4,39399,6,32,424999.38,4097599.75
146,4,33,1,33,425459.38,4098862.5
146,4,11094,2,33,425459.38,4098862.5
146,4,20241,3,33,425459.38,4098862.5
146,4,27845,4,33,425459.38,4098862.5
146,4,34226,5,33,425459.38,4098862.5
146,4,39400,6,33,425459.38,4098862.5
147,4,34,1,34,425940.84,4100182.5
147,4,11095,2,34,425940.84,4100182.5
147,4,20242,3,34,425940.84,4100182.5
147,4,27846,4,34,425940.84,4100182.5
147,4,34227,5,34,425940.84,4100182.5
147,4,39401,6,34,425940.84,4100182.5
148,4,35,1,35,426438.47,4101540.25
148,4,11096,2,35,426438.47,4101540.25
148,4,20243,3,35,426438.47,4101540.25
148,4,27847,4,35,426438.47,4101540.25
149,4,36,1,36,426942.69,4103195.25
149,4,11097,2,36,426942.69,4103195.25
149,4,20244,3,36,426942.69,4103195.25
149,4,27848,4,36,426942.69,4103195.25
150,4,37,1,37,427384.72,4105335.25
150,4,11098,2,37,427384.72,4105335.25
151,4,38,1,38,427709.81,4107673.0
151,4,11099,2,38,427709.81,4107673.0
152,4,39,1,39,427599.75,4110335.0
153,4,40,1,40,426946.25,4113211.75
108,5,41,1,41,384010.38,4070877.75
108,5,11100,2,41,384010.38,4070877.75
117,5,42,1,42,414081.97,4077902.75
117,5,11101,2,42,414081.97,4077902.75
117,5,20245,3,42,414081.97,4077902.75
117,5,27849,4,42,414081.97,4077902.75
118,5,43,1,43,414920.16,4079028.25
118,5,11102,2,43,414920.16,4079028.25
118,5,20246,3,43,414920.16,4079028.25
118,5,27850,4,43,414920.16,4079028.25
119,5,44,1,44,415516.47,4080033.5
119,5,11103,2,44,415516.47,4080033.5
119,5,20247,3,44,415516.47,4080033.5
119,5,27851,4,44,415516.47,4080033.5
120,5,45,1,45,416046.16,4080980.5
120,5,11104,2,45,416046.16,4080980.5
120,5,20248,3,45,416046.16,4080980.5
120,5,27852,4,45,416046.16,4080980.5
121,5,46,1,46,416493.59,4081778.25
121,5,11105,2,46,416493.59,4081778.25
121,5,20249,3,46,416493.59,4081778.25
121,5,27853,4,46,416493.59,4081778.25
122,5,47,1,47,416893.91,4082483.75
122,5,11106,2,47,416893.91,4082483.75
122,5,20250,3,47,416893.91,4082483.75
122,5,27854,4,47,416893.91,4082483.75
123,5,48,1,48,417266.44,4083135.75
123,5,11107,2,48,417266.44,4083135.75
123,5,20251,3,48,417266.44,4083135.75
123,5,27855,4,48,417266.44,4083135.75
124,5,49,1,49,417609.12,4083728.0
124,5,11108,2,49,417609.12,4083728.0
124,5,20252,3,49,417609.12,4083728.0
124,5,27856,4,49,417609.12,4083728.0
125,5,50,1,50,417939.0,4084292.5
125,5,11109,2,50,417939.0,4084292.5
125,5,20253,3,50,417939.0,4084292.5
125,5,27857,4,50,417939.0,4084292.5
125,5,34228,5,50,417939.0,4084292.5
125,5,39402,6,50,417939.0,4084292.5
125,5,43588,7,50,417939.0,4084292.5
126,5,51,1,51,418257.91,4084832.25
126,5,11110,2,51,418257.91,4084832.25
126,5,20254,3,51,418257.91,4084832.25
126,5,27858,4,51,418257.91,4084832.25
126,5,34229,5,51,418257.91,4084832.25
126,5,39403,6,51,418257.91,4084832.25
126,5,43589,7,51,418257.91,4084832.25
126,5,46877,8,51,418257.91,4084832.25
126,5,49416,9,51,418257.91,4084832.25
126,5,51224,10,51,418257.91,4084832.25
127,5,52,1,52,418567.62,4085353.0
127,5,11111,2,52,418567.62,4085353.0
127,5,20255,3,52,418567.62,4085353.0
